fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.85,0.682,0.193,1.62,0.029,23.1,36.1,0.99637,3.27,0.42,9.87,4
6.51,0.449,0.254,1.24,0.134,19.5,56.8,0.9966,3.22,0.65,9.93,6
9.63,0.453,0.573,2.67,0.054,1.9,49.6,0.9948,3.34,0.86,10.51,6
9.96,0.535,0.186,2.77,0.133,26.0,24.6,0.99389,3.34,0.86,8.93,5
4.93,0.628,0.18,1.31,0.029,24.9,63.1,0.99679,3.38,0.83,8.97,5
6.05,0.527,0.262,1.39,0.07,12.3,43.7,0.99651,3.14,0.63,9.16,4
8.54,0.705,0.395,2.25,0.15,21.7,47.9,0.9949,3.05,0.84,11.0,5
7.77,0.447,0.429,1.37,0.108,26.2,59.8,0.99818,3.17,0.71,10.71,6
8.29,0.291,0.291,2.29,0.067,3.5,38.8,0.99869,3.11,0.57,11.64,6
6.84,0.886,0.452,4.1,0.033,2.9,22.4,0.99874,3.1,0.7,8.56,5
9.85,0.421,0.409,2.06,0.043,24.5,56.8,0.99604,3.55,0.8,8.8,5
9.67,0.428,0.481,1.23,0.146,19.3,66.6,0.99454,2.97,0.46,10.91,5
8.43,0.518,0.457,2.53,0.067,3.7,66.8,0.99515,3.38,0.49,9.49,4
10.28,0.542,0.568,1.95,0.076,4.4,67.7,0.99725,3.45,0.62,9.56,4
9.13,0.46,0.238,1.98,0.089,35.9,52.3,0.99357,3.46,0.47,11.5,5
6.82,0.527,0.018,2.62,0.043,21.4,10.9,0.99935,3.35,0.47,9.83,5
8.96,0.523,0.396,2.89,0.094,6.6,138.9,0.99607,3.51,0.57,9.95,5
6.65,0.561,0.418,2.15,0.065,27.6,66.3,0.99765,3.58,0.82,10.15,6
9.85,0.869,0.568,2.06,0.089,3.7,31.9,0.99332,3.26,0.81,10.22,5
8.23,0.503,0.513,5.36,0.06,2.6,72.5,0.99494,3.38,0.69,11.15,5
8.0,0.635,0.64,3.63,0.038,8.4,17.6,0.99308,3.5,0.67,9.13,6
7.14,0.282,0.388,3.08,0.064,23.4,60.7,0.99864,3.18,1.07,10.22,6
10.45,0.445,0.313,2.25,0.104,16.4,34.3,0.9964,3.27,0.56,11.66,6
8.05,0.409,0.007,1.35,0.093,21.1,18.4,0.99779,3.22,0.68,12.7,5
7.57,0.795,0.329,3.52,0.079,19.7,18.1,0.99682,3.38,0.55,8.97,5
7.71,0.425,0.165,2.26,0.117,30.0,54.8,0.99759,3.03,0.46,10.77,6
9.25,0.666,0.31,1.63,0.071,18.0,59.1,0.99606,3.53,0.86,10.22,6
8.96,0.413,0.28,1.9,0.08,14.7,21.3,0.99631,3.39,0.59,10.31,6
9.04,0.449,0.36,1.37,0.063,6.4,34.6,0.99653,3.4,0.76,9.58,6
9.07,0.486,0.252,3.41,0.12,18.7,51.4,0.99747,2.96,0.6,11.23,5
12.05,0.761,0.448,2.88,0.089,4.4,28.7,0.99752,3.15,0.87,11.17,6
7.61,0.19,0.306,2.3,0.061,10.1,124.9,1.00204,3.53,0.5,13.12,7
7.43,0.293,0.498,2.08,0.04,14.9,55.3,0.9999,3.28,0.85,9.01,5
6.9,0.179,0.625,1.56,0.128,10.2,38.8,0.99332,3.05,0.8,8.55,6
9.39,0.334,0.409,0.9,0.056,25.5,79.4,0.99643,3.34,0.41,12.62,5
10.28,0.384,0.59,1.12,0.081,32.6,58.3,0.99593,3.41,0.56,10.36,6
8.12,0.239,0.302,1.52,0.225,33.8,51.7,0.99913,3.39,0.82,9.93,6
6.86,0.398,0.271,1.42,0.112,35.0,55.9,0.9961,3.29,0.96,10.62,5
